name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1.74e+04,1.19,34.6,-1.75e+04,-1.74e+04,-1.74e+04,843,0.0962,1
"accept_stat__",0.907,0.0229,0.111,0.691,0.944,0.998,23.7,0.00271,1.05
"stepsize__",0.0368,0.00415,0.00588,0.0278,0.0384,0.0442,2.01,0.000229,4.13e+13
"treedepth__",7,nan,1.21e-13,7,7,7,nan,nan,nan
"n_leapfrog__",127,nan,1.81e-12,127,127,127,nan,nan,nan
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",1.8e+04,1.43,42.3,1.79e+04,1.8e+04,1.81e+04,871,0.0994,1
"mu_pr[1,1]",1.28,0.00642,0.123,1.08,1.27,1.48,369,0.0421,1.00
"mu_pr[1,2]",1.24,0.00682,0.126,1.04,1.24,1.45,341,0.0389,1.01
"mu_pr[2,1]",0.0402,0.000327,0.0134,0.0184,0.0402,0.0624,1678,0.191,1.00
"mu_pr[2,2]",0.0367,0.000368,0.0135,0.0147,0.0365,0.0588,1338,0.153,1.00
"mu_pr[3,1]",0.170,0.000607,0.0228,0.133,0.169,0.207,1406,0.160,1.00
"mu_pr[3,2]",0.119,0.000584,0.0224,0.0820,0.119,0.156,1464,0.167,1.00
"mu_pr[4,1]",-0.382,0.00469,0.109,-0.558,-0.380,-0.205,539,0.0615,1.00
"mu_pr[4,2]",-0.349,0.00585,0.115,-0.539,-0.351,-0.159,385,0.0439,1.01
"mu_pr[5,1]",0.122,0.00280,0.0898,-0.0242,0.122,0.267,1027,0.117,1.00
"mu_pr[5,2]",0.108,0.00348,0.0922,-0.0409,0.107,0.261,703,0.0802,1.00
"theta_c_pr[1,1]",-1.01,0.0178,0.347,-1.33,-1.07,-0.610,377,0.0431,1.00
"theta_c_pr[1,2]",-0.828,0.00699,0.164,-1.09,-0.833,-0.552,549,0.0626,1.00
"theta_c_pr[1,3]",0.303,0.0149,0.551,-0.519,0.255,1.31,1374,0.157,1.00
"theta_c_pr[1,4]",-0.516,0.00861,0.292,-0.897,-0.558,0.0114,1152,0.131,1.00
"theta_c_pr[1,5]",1.60,0.0136,0.605,0.630,1.58,2.61,1987,0.227,1.00
"theta_c_pr[1,6]",-0.668,0.00936,0.227,-0.985,-0.699,-0.243,588,0.0671,1.00
"theta_c_pr[1,7]",-0.930,0.0209,0.291,-1.21,-0.965,-0.655,195,0.0222,1.02
"theta_c_pr[1,8]",-0.202,0.0288,0.731,-1.03,-0.408,1.26,646,0.0737,1.00
"theta_c_pr[1,9]",-0.736,0.00720,0.148,-0.982,-0.735,-0.488,422,0.0482,1.00
"theta_c_pr[1,10]",0.675,0.0338,0.805,-0.689,0.662,2.02,569,0.0649,1.01
"theta_c_pr[1,11]",0.423,0.00966,0.417,-0.172,0.381,1.18,1864,0.213,1.00
"theta_c_pr[1,12]",-0.349,0.00789,0.247,-0.707,-0.373,0.0749,977,0.111,1.00
"theta_c_pr[1,13]",1.64,0.0113,0.532,0.827,1.61,2.58,2222,0.254,1.00
"theta_c_pr[1,14]",-0.0951,0.0208,0.645,-0.815,-0.303,1.23,965,0.110,1.01
"theta_c_pr[1,15]",-0.971,0.00734,0.150,-1.21,-0.972,-0.722,421,0.0480,1.00
"theta_c_pr[1,16]",1.36,0.0136,0.512,0.571,1.33,2.28,1406,0.160,1.00
"theta_c_pr[1,17]",-0.282,0.126,1.35,-1.36,-1.04,2.35,115,0.0132,1.02
"theta_c_pr[1,18]",0.515,0.00860,0.363,-0.00820,0.484,1.15,1783,0.203,1.00
"theta_c_pr[1,19]",-0.913,0.00712,0.142,-1.15,-0.911,-0.680,400,0.0457,1.00
"theta_c_pr[1,20]",-0.551,0.0142,0.446,-1.04,-0.661,0.332,982,0.112,1.01
"theta_c_pr[1,21]",-0.105,0.0228,0.648,-0.897,-0.271,1.19,807,0.0921,1.01
"theta_c_pr[1,22]",0.297,0.0336,0.984,-0.902,0.125,2.02,855,0.0975,1.00
"theta_c_pr[1,23]",1.08,0.00995,0.499,0.304,1.06,1.96,2516,0.287,1.000
"theta_c_pr[1,24]",-0.680,0.00693,0.163,-0.942,-0.683,-0.405,553,0.0631,1.00
"theta_c_pr[1,25]",-0.891,0.0113,0.256,-1.20,-0.922,-0.500,520,0.0593,1.01
"theta_c_pr[1,26]",0.363,0.0396,0.955,-1.05,0.314,1.96,582,0.0664,1.00
"theta_c_pr[1,27]",0.780,0.0294,0.789,-0.634,0.817,2.04,721,0.0822,1.01
"theta_c_pr[1,28]",0.781,0.0455,0.976,-0.948,0.894,2.22,459,0.0524,1.01
"theta_c_pr[1,29]",-0.415,0.00860,0.273,-0.784,-0.450,0.0401,1011,0.115,1.00
"theta_c_pr[1,30]",-0.827,0.0126,0.301,-1.15,-0.877,-0.380,574,0.0655,1.01
"theta_c_pr[1,31]",-1.08,0.0239,0.486,-1.44,-1.18,-0.406,414,0.0472,1.01
"theta_c_pr[1,32]",-0.246,0.0105,0.401,-0.769,-0.316,0.509,1451,0.166,1.00
"theta_c_pr[1,33]",-0.804,0.00799,0.222,-1.12,-0.822,-0.444,775,0.0885,1.00
"theta_c_pr[1,34]",1.39,0.0121,0.579,0.431,1.38,2.35,2271,0.259,1.00
"theta_c_pr[1,35]",0.937,0.0102,0.501,0.189,0.896,1.83,2402,0.274,1.00
"theta_c_pr[1,36]",0.630,0.00962,0.379,0.0630,0.595,1.30,1549,0.177,1.00
"theta_c_pr[1,37]",-0.673,0.00753,0.245,-0.988,-0.705,-0.260,1056,0.121,1.00
"theta_c_pr[1,38]",0.462,0.0116,0.553,-0.311,0.396,1.50,2252,0.257,1.00
"theta_c_pr[1,39]",1.07,0.0113,0.514,0.280,1.05,1.96,2072,0.236,1.00
"theta_c_pr[1,40]",0.961,0.0123,0.442,0.298,0.928,1.71,1295,0.148,1.00
"theta_c_pr[1,41]",-0.342,0.0115,0.384,-0.785,-0.416,0.352,1116,0.127,1.00
"theta_c_pr[1,42]",1.47,0.0141,0.508,0.693,1.44,2.37,1291,0.147,1.00
"theta_c_pr[1,43]",-0.451,0.0616,1.05,-1.33,-0.984,1.76,289,0.0330,1.01
"theta_c_pr[1,44]",-0.802,0.00701,0.153,-1.05,-0.803,-0.554,474,0.0541,1.00
"theta_c_pr[1,45]",0.351,0.0182,0.642,-0.631,0.313,1.46,1247,0.142,1.00
"theta_c_pr[1,46]",-0.128,0.0169,0.528,-0.851,-0.202,0.843,976,0.111,1.00
"theta_c_pr[1,47]",0.636,0.00897,0.444,0.00195,0.592,1.45,2451,0.280,1.00
"theta_c_pr[1,48]",-1.07,0.0273,0.420,-1.42,-1.15,-0.510,237,0.0270,1.01
"theta_c_pr[1,49]",-0.675,0.00974,0.264,-1.02,-0.713,-0.226,735,0.0839,1.01
"theta_c_pr[1,50]",0.267,0.0291,0.746,-0.842,0.224,1.59,656,0.0749,1.00
"theta_c_pr[1,51]",0.408,0.0846,1.40,-1.28,0.545,2.56,274,0.0312,1.03
"theta_c_pr[1,52]",0.332,0.00946,0.425,-0.283,0.282,1.10,2015,0.230,1.00
"theta_c_pr[1,53]",-0.833,0.00759,0.170,-1.10,-0.834,-0.545,504,0.0575,1.00
"theta_c_pr[1,54]",-0.995,0.0116,0.247,-1.30,-1.01,-0.641,450,0.0514,1.01
"theta_c_pr[1,55]",-1.07,0.0800,0.692,-1.50,-1.23,0.708,74.7,0.00852,1.10
"theta_c_pr[1,56]",-0.784,0.00716,0.165,-1.05,-0.791,-0.499,532,0.0607,1.00
"theta_c_pr[1,57]",-0.315,0.00819,0.277,-0.683,-0.347,0.167,1148,0.131,1.00
"theta_c_pr[1,58]",-0.835,0.0106,0.275,-1.19,-0.872,-0.386,679,0.0775,1.00
"theta_c_pr[1,59]",1.38,0.0108,0.581,0.441,1.36,2.36,2883,0.329,1.00
"theta_c_pr[1,60]",-0.589,0.0285,0.571,-1.11,-0.794,0.687,402,0.0459,1.01
"theta_c_pr[1,61]",1.54,0.0100,0.506,0.756,1.51,2.41,2558,0.292,1.00
"theta_c_pr[1,62]",-0.179,0.0109,0.483,-0.761,-0.289,0.827,1954,0.223,1.00
"theta_c_pr[1,63]",0.792,0.0132,0.589,-0.114,0.744,1.80,1979,0.226,1.00
"theta_c_pr[1,64]",-0.0237,0.0333,0.821,-1.11,-0.129,1.46,608,0.0693,1.00
"theta_c_pr[1,65]",-0.573,0.0103,0.379,-1.01,-0.648,0.165,1349,0.154,1.00
"theta_c_pr[1,66]",-0.721,0.0272,0.562,-1.18,-0.873,0.595,427,0.0488,1.01
"theta_c_pr[1,67]",1.54,0.0117,0.511,0.741,1.52,2.42,1911,0.218,1.00
"theta_c_pr[1,68]",0.675,0.0112,0.508,-0.0522,0.631,1.59,2063,0.235,1.00
"theta_c_pr[1,69]",-0.931,0.00719,0.146,-1.17,-0.931,-0.688,414,0.0473,1.00
"theta_c_pr[1,70]",-0.883,0.00721,0.148,-1.12,-0.888,-0.630,418,0.0477,1.00
"theta_c_pr[1,71]",-0.483,0.0440,0.740,-1.16,-0.805,1.09,282,0.0322,1.00
"theta_c_pr[1,72]",-0.270,0.0180,0.559,-0.899,-0.411,0.909,966,0.110,1.00
"theta_c_pr[1,73]",-0.654,0.00707,0.153,-0.907,-0.655,-0.398,470,0.0536,1.00
"theta_c_pr[1,74]",0.528,0.0103,0.483,-0.166,0.472,1.42,2205,0.252,1.00
"theta_c_pr[1,75]",-0.904,0.00753,0.164,-1.17,-0.907,-0.623,475,0.0542,1.00
"theta_c_pr[1,76]",1.69,0.0134,0.504,0.912,1.66,2.57,1410,0.161,1.00
"theta_c_pr[1,77]",-0.791,0.00961,0.234,-1.09,-0.820,-0.412,596,0.0680,1.00
"theta_c_pr[1,78]",0.936,0.0100,0.455,0.234,0.905,1.74,2058,0.235,1.000
"theta_c_pr[1,79]",0.165,0.130,1.18,-1.14,-0.242,2.12,82.0,0.00936,1.01
"theta_c_pr[1,80]",-0.602,0.00706,0.182,-0.876,-0.611,-0.292,665,0.0759,1.00
"theta_c_pr[1,81]",2.11,0.0117,0.506,1.30,2.10,2.98,1869,0.213,1.00
"theta_c_pr[1,82]",1.46,0.0107,0.505,0.679,1.44,2.32,2214,0.253,1.00
"theta_c_pr[1,83]",-0.485,0.0107,0.341,-0.909,-0.552,0.135,1016,0.116,1.00
"theta_c_pr[1,84]",-0.585,0.00708,0.153,-0.838,-0.585,-0.330,469,0.0535,1.00
"theta_c_pr[1,85]",0.175,0.0435,1.04,-1.16,0.102,1.92,575,0.0656,1.01
"theta_c_pr[1,86]",2.03,0.0110,0.497,1.24,2.01,2.89,2044,0.233,1.00
"theta_c_pr[1,87]",-0.865,0.00752,0.164,-1.12,-0.874,-0.596,478,0.0545,1.00
"theta_c_pr[1,88]",-0.327,0.0140,0.472,-0.861,-0.443,0.614,1143,0.130,1.00
"theta_c_pr[1,89]",-0.758,0.00743,0.155,-1.01,-0.759,-0.498,438,0.0500,1.00
"theta_c_pr[1,90]",0.0562,0.00863,0.377,-0.442,-0.00553,0.770,1909,0.218,1.000
"theta_c_pr[1,91]",0.874,0.0124,0.476,0.178,0.836,1.73,1464,0.167,1.00
"theta_c_pr[1,92]",0.966,0.0251,0.715,-0.186,0.962,2.16,812,0.0926,1.01
"theta_c_pr[1,93]",0.416,0.0123,0.548,-0.363,0.341,1.43,1980,0.226,1.00
"theta_c_pr[1,94]",-0.685,0.0142,0.479,-1.19,-0.817,0.347,1141,0.130,1.00
"theta_c_pr[1,95]",-0.0521,0.0322,0.838,-1.04,-0.249,1.54,678,0.0774,1.00
"theta_c_pr[1,96]",-0.869,0.00774,0.182,-1.14,-0.878,-0.591,556,0.0634,1.00
"theta_c_pr[1,97]",0.818,0.0682,1.20,-1.16,1.06,2.51,312,0.0355,1.01
"theta_c_pr[1,98]",-0.677,0.00772,0.172,-0.943,-0.682,-0.388,495,0.0565,1.00
"theta_c_pr[1,99]",0.906,0.0136,0.525,0.0602,0.904,1.79,1479,0.169,1.00
"theta_c_pr[1,100]",-0.189,0.00954,0.288,-0.611,-0.218,0.308,909,0.104,1.00
"theta_c_pr[1,101]",-0.161,0.00919,0.320,-0.588,-0.209,0.441,1213,0.138,1.00
"theta_c_pr[1,102]",-1.06,0.00886,0.179,-1.33,-1.07,-0.788,411,0.0468,1.00
"theta_c_pr[1,103]",0.861,0.0118,0.481,0.170,0.822,1.72,1665,0.190,1.00
"theta_c_pr[1,104]",1.21,0.0150,0.589,0.198,1.23,2.15,1537,0.175,1.00
"theta_c_pr[1,105]",-0.974,0.00707,0.148,-1.22,-0.977,-0.726,440,0.0502,1.00
"theta_c_pr[1,106]",-1.01,0.00969,0.233,-1.29,-1.03,-0.718,579,0.0661,1.00
"theta_c_pr[1,107]",-0.314,0.00903,0.292,-0.708,-0.358,0.228,1047,0.119,1.00
"theta_c_pr[1,108]",-1.06,0.136,0.637,-1.46,-1.19,-0.0198,22.1,0.00252,1.22
"theta_c_pr[1,109]",0.0981,0.0379,0.968,-0.947,-0.269,1.96,651,0.0742,1.01
"theta_c_pr[1,110]",-0.244,0.00867,0.249,-0.595,-0.268,0.154,822,0.0938,1.00
"theta_c_pr[2,1]",-1.38,0.00788,0.444,-2.12,-1.37,-0.664,3181,0.363,1.000
"theta_c_pr[2,2]",0.196,0.00747,0.453,-0.526,0.194,0.941,3674,0.419,1.000
"theta_c_pr[2,3]",0.566,0.00822,0.491,-0.212,0.571,1.38,3576,0.408,1.000
"theta_c_pr[2,4]",-0.248,0.00722,0.494,-1.06,-0.243,0.563,4671,0.533,1.00
"theta_c_pr[2,5]",-0.487,0.00855,0.495,-1.30,-0.479,0.316,3359,0.383,1.00
"theta_c_pr[2,6]",-1.37,0.00870,0.508,-2.20,-1.37,-0.562,3409,0.389,1.00
"theta_c_pr[2,7]",-0.393,0.00759,0.453,-1.13,-0.401,0.361,3569,0.407,1.000
"theta_c_pr[2,8]",-0.236,0.0107,0.504,-1.09,-0.223,0.560,2198,0.251,1.000
"theta_c_pr[2,9]",1.47,0.00721,0.496,0.678,1.46,2.32,4729,0.540,1.00
"theta_c_pr[2,10]",-0.284,0.00755,0.471,-1.06,-0.273,0.462,3884,0.443,1.00
"theta_c_pr[2,11]",0.503,0.00723,0.513,-0.330,0.497,1.35,5036,0.575,0.999
"theta_c_pr[2,12]",0.681,0.00739,0.515,-0.142,0.668,1.55,4856,0.554,1.00
"theta_c_pr[2,13]",0.545,0.00913,0.561,-0.372,0.541,1.46,3781,0.431,1.00
"theta_c_pr[2,14]",0.773,0.00663,0.482,0.00663,0.765,1.58,5294,0.604,0.999
"theta_c_pr[2,15]",0.500,0.00708,0.448,-0.232,0.502,1.24,3996,0.456,1.00
"theta_c_pr[2,16]",-0.715,0.00974,0.607,-1.74,-0.711,0.273,3886,0.443,1.00
"theta_c_pr[2,17]",-1.17,0.00764,0.437,-1.90,-1.17,-0.475,3277,0.374,1.00
"theta_c_pr[2,18]",-0.446,0.0100,0.632,-1.47,-0.441,0.571,3959,0.452,1.000
"theta_c_pr[2,19]",0.157,0.00808,0.469,-0.593,0.142,0.958,3372,0.385,1.00
"theta_c_pr[2,20]",0.926,0.00736,0.482,0.140,0.921,1.72,4290,0.489,1.000
"theta_c_pr[2,21]",-0.981,0.00863,0.476,-1.78,-0.974,-0.200,3045,0.347,1.00
"theta_c_pr[2,22]",0.816,0.00661,0.459,0.0813,0.807,1.59,4832,0.551,1.00
"theta_c_pr[2,23]",0.435,0.00847,0.528,-0.418,0.423,1.32,3887,0.444,1.000
"theta_c_pr[2,24]",1.24,0.00726,0.500,0.429,1.23,2.08,4738,0.541,1.00
"theta_c_pr[2,25]",0.549,0.00736,0.447,-0.174,0.537,1.29,3682,0.420,1.000
"theta_c_pr[2,26]",-0.302,0.00646,0.419,-1.00,-0.300,0.376,4202,0.479,1.000
"theta_c_pr[2,27]",-0.558,0.00829,0.458,-1.31,-0.549,0.204,3053,0.348,1.000
"theta_c_pr[2,28]",-0.536,0.00769,0.444,-1.28,-0.522,0.176,3325,0.379,1.00
"theta_c_pr[2,29]",1.06,0.00738,0.513,0.221,1.06,1.91,4826,0.551,0.999
"theta_c_pr[2,30]",-0.259,0.00762,0.465,-1.03,-0.253,0.487,3722,0.425,1.000
"theta_c_pr[2,31]",0.637,0.00761,0.413,-0.0512,0.639,1.32,2944,0.336,1.000
"theta_c_pr[2,32]",-1.01,0.00915,0.520,-1.86,-0.996,-0.174,3225,0.368,1.000
"theta_c_pr[2,33]",0.415,0.00869,0.455,-0.344,0.416,1.17,2740,0.313,0.999
"theta_c_pr[2,34]",-0.874,0.00841,0.458,-1.62,-0.875,-0.145,2969,0.339,1.00
"theta_c_pr[2,35]",0.178,0.00784,0.545,-0.704,0.166,1.08,4819,0.550,1.000
"theta_c_pr[2,36]",-0.195,0.00795,0.569,-1.14,-0.197,0.737,5119,0.584,1.00
"theta_c_pr[2,37]",1.16,0.00782,0.491,0.363,1.15,1.99,3947,0.450,1.00
"theta_c_pr[2,38]",-0.651,0.00816,0.526,-1.53,-0.650,0.211,4154,0.474,1.00
"theta_c_pr[2,39]",0.462,0.00914,0.574,-0.486,0.460,1.41,3937,0.449,1.00
"theta_c_pr[2,40]",0.350,0.00873,0.597,-0.634,0.349,1.36,4680,0.534,1.00
"theta_c_pr[2,41]",0.501,0.0129,0.588,-0.451,0.489,1.49,2080,0.237,0.999
"theta_c_pr[2,42]",0.780,0.00860,0.607,-0.217,0.779,1.77,4987,0.569,1.00
"theta_c_pr[2,43]",-1.37,0.00698,0.432,-2.09,-1.36,-0.675,3832,0.437,1.000
"theta_c_pr[2,44]",0.774,0.00748,0.478,-0.00309,0.769,1.56,4076,0.465,1.00
"theta_c_pr[2,45]",-0.0542,0.00754,0.453,-0.787,-0.0579,0.673,3608,0.412,1.00
"theta_c_pr[2,46]",-0.141,0.00883,0.517,-0.994,-0.138,0.703,3422,0.391,1.000
"theta_c_pr[2,47]",0.548,0.00762,0.518,-0.300,0.548,1.38,4633,0.529,0.999
"theta_c_pr[2,48]",-1.36,0.00926,0.447,-2.12,-1.36,-0.648,2327,0.266,1.00
"theta_c_pr[2,49]",-1.38,0.00918,0.534,-2.28,-1.36,-0.540,3386,0.386,1.00
"theta_c_pr[2,50]",-0.104,0.0135,0.547,-1.04,-0.0932,0.775,1628,0.186,1.00
"theta_c_pr[2,51]",0.782,0.00813,0.450,0.0322,0.782,1.52,3064,0.350,1.00
"theta_c_pr[2,52]",-0.599,0.00826,0.543,-1.50,-0.598,0.287,4323,0.493,1.000
"theta_c_pr[2,53]",0.110,0.00677,0.454,-0.622,0.105,0.850,4491,0.512,1.000
"theta_c_pr[2,54]",1.39,0.00799,0.449,0.688,1.38,2.14,3154,0.360,1.00
"theta_c_pr[2,55]",0.112,0.00759,0.402,-0.551,0.112,0.758,2800,0.319,1.00
"theta_c_pr[2,56]",-1.55,0.0121,0.526,-2.39,-1.56,-0.683,1893,0.216,1.00
"theta_c_pr[2,57]",-1.53,0.00793,0.565,-2.48,-1.54,-0.615,5078,0.579,1.00
"theta_c_pr[2,58]",0.163,0.00791,0.455,-0.572,0.154,0.901,3309,0.378,1.00
"theta_c_pr[2,59]",-0.514,0.00881,0.513,-1.38,-0.513,0.318,3393,0.387,1.00
"theta_c_pr[2,60]",0.282,0.0113,0.500,-0.537,0.289,1.09,1953,0.223,1.00
"theta_c_pr[2,61]",1.10,0.0104,0.621,0.0775,1.09,2.11,3585,0.409,1.00
"theta_c_pr[2,62]",0.454,0.00731,0.477,-0.303,0.439,1.23,4268,0.487,1.00
"theta_c_pr[2,63]",-0.702,0.00760,0.461,-1.48,-0.704,0.0502,3679,0.420,1.000
"theta_c_pr[2,64]",-0.569,0.00715,0.458,-1.33,-0.560,0.159,4111,0.469,1.00
"theta_c_pr[2,65]",-0.469,0.00905,0.486,-1.27,-0.465,0.314,2888,0.330,1.00
"theta_c_pr[2,66]",0.887,0.00726,0.461,0.149,0.877,1.66,4027,0.459,1.00
"theta_c_pr[2,67]",1.96,0.00964,0.643,0.939,1.94,3.04,4448,0.508,1.00
"theta_c_pr[2,68]",0.634,0.00903,0.591,-0.331,0.637,1.61,4280,0.488,1.00
"theta_c_pr[2,69]",-0.576,0.00783,0.449,-1.33,-0.577,0.162,3281,0.374,1.000
"theta_c_pr[2,70]",0.792,0.00712,0.468,0.0314,0.788,1.57,4317,0.493,1.00
"theta_c_pr[2,71]",0.414,0.00739,0.478,-0.360,0.402,1.22,4185,0.478,1.00
"theta_c_pr[2,72]",-0.650,0.00943,0.547,-1.55,-0.645,0.238,3365,0.384,1.000
"theta_c_pr[2,73]",-0.997,0.00864,0.502,-1.85,-0.989,-0.176,3372,0.385,1.00
"theta_c_pr[2,74]",0.233,0.00763,0.509,-0.588,0.224,1.08,4453,0.508,0.999
"theta_c_pr[2,75]",0.797,0.00744,0.463,0.0460,0.792,1.56,3868,0.441,1.000
"theta_c_pr[2,76]",0.361,0.0107,0.622,-0.676,0.350,1.37,3392,0.387,1.00
"theta_c_pr[2,77]",0.0440,0.00877,0.477,-0.732,0.0409,0.835,2956,0.337,1.000
"theta_c_pr[2,78]",0.687,0.00867,0.566,-0.218,0.676,1.64,4267,0.487,0.999
"theta_c_pr[2,79]",-1.18,0.00867,0.456,-1.92,-1.17,-0.424,2765,0.315,0.999
"theta_c_pr[2,80]",0.486,0.00800,0.516,-0.359,0.484,1.34,4168,0.476,1.00
"theta_c_pr[2,81]",-0.671,0.0122,0.609,-1.69,-0.664,0.299,2497,0.285,1.00
"theta_c_pr[2,82]",1.90,0.00961,0.582,0.947,1.89,2.87,3667,0.418,1.00
"theta_c_pr[2,83]",-0.274,0.00733,0.492,-1.08,-0.277,0.555,4513,0.515,0.999
"theta_c_pr[2,84]",-1.36,0.00766,0.515,-2.22,-1.36,-0.537,4520,0.516,1.00
"theta_c_pr[2,85]",-0.956,0.00801,0.446,-1.71,-0.949,-0.238,3102,0.354,1.000
"theta_c_pr[2,86]",0.687,0.00967,0.623,-0.342,0.694,1.72,4155,0.474,1.00
"theta_c_pr[2,87]",0.713,0.00701,0.457,-0.0461,0.707,1.45,4256,0.486,1.00
"theta_c_pr[2,88]",-0.416,0.00712,0.452,-1.15,-0.411,0.322,4030,0.460,1.00
"theta_c_pr[2,89]",0.839,0.00717,0.489,0.0419,0.842,1.64,4647,0.530,1.000
"theta_c_pr[2,90]",-1.76,0.00840,0.568,-2.72,-1.76,-0.839,4570,0.521,1.000
"theta_c_pr[2,91]",-0.564,0.00877,0.587,-1.57,-0.551,0.385,4482,0.511,1.00
"theta_c_pr[2,92]",-1.83,0.00906,0.471,-2.61,-1.82,-1.08,2708,0.309,1.00
"theta_c_pr[2,93]",-0.530,0.00776,0.494,-1.37,-0.516,0.265,4049,0.462,0.999
"theta_c_pr[2,94]",-1.57,0.0148,0.565,-2.56,-1.53,-0.718,1464,0.167,1.00
"theta_c_pr[2,95]",-0.0768,0.00872,0.465,-0.845,-0.0693,0.687,2844,0.324,1.000
"theta_c_pr[2,96]",1.10,0.00810,0.463,0.351,1.09,1.86,3262,0.372,0.999
"theta_c_pr[2,97]",-0.832,0.00833,0.455,-1.60,-0.829,-0.103,2988,0.341,1.000
"theta_c_pr[2,98]",1.58,0.00825,0.511,0.771,1.56,2.43,3834,0.438,1.00
"theta_c_pr[2,99]",-0.247,0.00827,0.514,-1.10,-0.247,0.588,3867,0.441,1.000
"theta_c_pr[2,100]",-0.607,0.00872,0.559,-1.54,-0.616,0.292,4117,0.470,1.00
"theta_c_pr[2,101]",-1.52,0.0102,0.593,-2.53,-1.50,-0.572,3403,0.388,1.000
"theta_c_pr[2,102]",0.0371,0.00776,0.433,-0.656,0.0367,0.771,3114,0.355,1.00
"theta_c_pr[2,103]",1.08,0.00949,0.633,0.0532,1.07,2.11,4453,0.508,1.00
"theta_c_pr[2,104]",0.361,0.00855,0.527,-0.501,0.366,1.23,3801,0.434,1.00
"theta_c_pr[2,105]",0.266,0.00728,0.448,-0.452,0.266,0.999,3789,0.432,0.999
"theta_c_pr[2,106]",0.470,0.00702,0.437,-0.243,0.473,1.20,3861,0.441,1.00
"theta_c_pr[2,107]",0.355,0.00811,0.534,-0.512,0.349,1.23,4329,0.494,1.000
"theta_c_pr[2,108]",0.647,0.00712,0.432,-0.0583,0.640,1.38,3682,0.420,1.00
"theta_c_pr[2,109]",0.173,0.00804,0.467,-0.600,0.177,0.952,3370,0.385,1.00
"theta_c_pr[2,110]",0.839,0.00734,0.511,0.0130,0.839,1.69,4841,0.552,1.000
"theta_c_pr[3,1]",0.233,0.0141,0.462,-0.482,0.211,1.02,1074,0.123,1.00
"theta_c_pr[3,2]",0.803,0.00802,0.470,0.0406,0.795,1.59,3431,0.391,1.00
"theta_c_pr[3,3]",-1.11,0.00934,0.460,-1.86,-1.11,-0.345,2428,0.277,1.00
"theta_c_pr[3,4]",0.781,0.00836,0.489,-0.0168,0.774,1.58,3426,0.391,1.000
"theta_c_pr[3,5]",0.186,0.0102,0.522,-0.651,0.171,1.06,2620,0.299,1.00
"theta_c_pr[3,6]",-0.545,0.0111,0.448,-1.27,-0.552,0.205,1638,0.187,1.00
"theta_c_pr[3,7]",-0.397,0.0126,0.455,-1.15,-0.405,0.358,1306,0.149,1.00
"theta_c_pr[3,8]",0.974,0.0166,0.587,0.0586,0.960,1.97,1243,0.142,1.00
"theta_c_pr[3,9]",0.155,0.00903,0.472,-0.638,0.157,0.925,2725,0.311,1.00
"theta_c_pr[3,10]",0.441,0.0157,0.509,-0.402,0.445,1.27,1057,0.121,1.00
"theta_c_pr[3,11]",0.831,0.00880,0.509,0.00482,0.827,1.67,3342,0.381,1.00
"theta_c_pr[3,12]",0.0630,0.00722,0.479,-0.715,0.0605,0.850,4398,0.502,0.999
"theta_c_pr[3,13]",-1.07,0.0100,0.543,-1.95,-1.08,-0.157,2937,0.335,1.000
"theta_c_pr[3,14]",-0.183,0.00775,0.485,-0.953,-0.188,0.604,3914,0.447,1.00
"theta_c_pr[3,15]",-0.0955,0.00900,0.425,-0.787,-0.0979,0.608,2225,0.254,1.00
"theta_c_pr[3,16]",-0.961,0.0116,0.583,-1.94,-0.957,-0.00605,2541,0.290,1.00
"theta_c_pr[3,17]",-1.68,0.0452,0.634,-2.58,-1.77,-0.496,197,0.0225,1.01
"theta_c_pr[3,18]",-1.51,0.00848,0.505,-2.34,-1.51,-0.689,3551,0.405,1.00
"theta_c_pr[3,19]",-0.915,0.00949,0.416,-1.61,-0.911,-0.252,1920,0.219,1.00
"theta_c_pr[3,20]",0.174,0.00972,0.490,-0.627,0.173,0.991,2543,0.290,1.00
"theta_c_pr[3,21]",0.453,0.0124,0.510,-0.359,0.435,1.33,1683,0.192,1.00
"theta_c_pr[3,22]",0.272,0.00820,0.498,-0.524,0.261,1.11,3694,0.422,1.00
"theta_c_pr[3,23]",0.298,0.00975,0.537,-0.578,0.294,1.18,3037,0.347,1.00
"theta_c_pr[3,24]",-0.222,0.00915,0.469,-0.990,-0.225,0.526,2619,0.299,1.00
"theta_c_pr[3,25]",-0.176,0.0101,0.444,-0.905,-0.174,0.544,1925,0.220,1.00
"theta_c_pr[3,26]",0.236,0.0165,0.548,-0.637,0.224,1.16,1110,0.127,1.00
"theta_c_pr[3,27]",-1.27,0.0137,0.521,-2.12,-1.28,-0.424,1446,0.165,1.00
"theta_c_pr[3,28]",-0.554,0.0135,0.509,-1.38,-0.567,0.299,1418,0.162,1.00
"theta_c_pr[3,29]",0.127,0.00844,0.489,-0.674,0.119,0.936,3356,0.383,1.000
"theta_c_pr[3,30]",0.708,0.0101,0.461,-0.0201,0.695,1.48,2078,0.237,1.00
"theta_c_pr[3,31]",0.183,0.0145,0.483,-0.556,0.160,0.995,1103,0.126,1.00
